release,feature,Mean LOC,Normalized Mean LOC
2021-09,CVS,9.659503832920867,32.68947999962295
2021-09,DataTools,9.937783848992336,63.64098031374402
2021-09,EclipseLink,9.106985096643337,94.51025248799783
2021-09,EGit,12.542848611525828,72.40087750210358
2021-09,EMF,12.658131027602261,86.42095567263858
2021-09,GEF,7.759822960888808,14.863712226762788
2021-09,GMF Runtime,9.11047083626142,74.52382893955603
2021-09,JDT,19.783926865513216,89.79797724780167
2021-09,m2e,8.817625165085845,89.31494903193214
2021-09,Mylyn,8.690681777298074,43.45286296366625
2021-09,PDE,10.13228350990327,99.16321784313568
2021-09,PTP,8.369560844787127,0.0
2021-09,RAP,8.783494308019275,73.00296216515056
2021-09,Scout,7.198067766581774,3.020596578266347
2021-09,Subversive,12.475720026791695,99.710454696343
2021-09,WebTools,7.7569733011520565,0.0
2021-09,Window Builder,13.060503693938644,8.892416594257291
2021-12,BIRT,9.897175558427174,0.0
2021-12,CDT,10.031083044834809,70.36373277493043
2021-12,CVS,9.659503832920867,32.68947999962295
2021-12,DataTools,9.937783848992336,63.64098031374402
2021-12,EclipseLink,8.783398271306373,38.83409719290898
2021-12,EGit,12.504796756008307,64.86300744947245
2021-12,EMF,12.65804496831526,86.39660287212455
2021-12,GEF,7.759822960888808,14.863712226762788
2021-12,GMF Runtime,9.110525576166385,74.83097312301868
2021-12,JDT,19.7692990357105,87.58372611807984
2021-12,m2e,8.822478109631762,89.57919904780242
2021-12,Mylyn,8.691881033759069,43.512752478898136
2021-12,PDE,10.139617151171084,99.23499114733832
2021-12,PTP,8.369560844787127,0.0
2021-12,RAP,8.784431641364229,73.35328255295246
2021-12,Scout,7.180095818815331,1.391836472286828
2021-12,Subversive,12.475720026791695,99.710454696343
2021-12,WebTools,7.760698646496815,0.3041602664577567
2021-12,Window Builder,13.062728497209928,9.207743589471464
2022-03,BIRT,10.456093024267673,17.01557930209088
2022-03,CDT,10.011004689319472,62.772137538401694
2022-03,CVS,9.660047081547654,32.74423784927487
2022-03,DataTools,9.937783848992336,63.64098031374402
2022-03,EclipseLink,8.8083032022399,43.119224687900704
2022-03,EGit,12.540119525815618,71.86026014806706
2022-03,EMF,12.661573988546094,87.39523449790052
2022-03,GEF,7.759822960888808,14.863712226762788
2022-03,GMF Runtime,9.110166514438276,72.81628710256878
2022-03,JDT,19.76530774111675,86.97955388730769
2022-03,m2e,8.743404982901808,85.27355022045617
2022-03,Mylyn,8.724702782020184,45.151833573188256
2022-03,PDE,10.156421249893523,99.39945047189651
2022-03,PTP,8.369560844787127,0.0
2022-03,RAP,8.784494722233903,73.37685849298084
2022-03,Scout,7.177290782824871,1.1376219165541197
2022-03,Subversive,12.475720026791695,99.710454696343
2022-03,WebTools,7.7608976910828025,0.3204114992182724
2022-03,Window Builder,13.064073666849918,9.398397885114635
2022-06,BIRT,10.456229468966868,17.019733199117514
2022-06,CDT,10.011743242393106,63.05138331584772
2022-06,CVS,9.660047081547654,32.74423784927487
2022-06,DataTools,9.937783848992336,63.64098031374402
2022-06,EclipseLink,8.924905813695796,63.18180015422574
2022-06,EGit,12.547784871348423,73.37872430044455
2022-06,EMF,12.662522399364505,87.66361296431408
2022-06,GEF,7.759822960888808,14.863712226762788
2022-06,GMF Runtime,9.108862182865979,65.49771656433944
2022-06,JDT,19.73711645539628,82.71216856106659
2022-06,m2e,8.737340216322517,84.94331470062613
2022-06,Mylyn,8.724702782020184,45.151833573188256
2022-06,PDE,10.148101051203797,99.31802187049969
2022-06,PTP,8.369560844787127,0.0
2022-06,RAP,8.78453387157815,73.39149022835272
2022-06,Scout,7.182831089648475,1.6397283574609265
2022-06,Subversive,12.475720026791695,99.710454696343
2022-06,WebTools,7.765898686305732,0.7287237223254585
2022-06,Window Builder,13.19084454512805,27.365955126718188
2022-09,BIRT,10.456087107862333,17.01539918414787
2022-09,CDT,10.012202153197824,63.22489678294586
2022-09,CVS,9.660047081547654,32.74423784927487
2022-09,DataTools,9.937783848992336,63.64098031374402
2022-09,EclipseLink,8.924915974145891,63.183548355181685
2022-09,EGit,12.557240038872692,75.25174266326738
2022-09,EMF,12.662918028548741,87.77556693159555
2022-09,GEF,7.472586035588474,0.0
2022-09,GMF Runtime,9.109510086455332,69.13308675805597
2022-09,JDT,19.733487558984738,82.16285344821185
2022-09,m2e,8.810966633954857,88.95238215312519
2022-09,Mylyn,8.72428661256999,45.13105054016982
2022-09,PDE,10.143426407415781,99.27227179650728
2022-09,PTP,8.369560844787127,0.0
2022-09,RAP,8.784276227303295,73.29519786580303
2022-09,Scout,7.196597858306406,2.8873818600019887
2022-09,Subversive,12.475720026791695,99.710454696343
2022-09,WebTools,7.765898686305732,0.7287237223254585
2022-09,Window Builder,13.193397918909222,27.727851251408303
2022-12,BIRT,10.456160196656406,17.01762428579105
2022-12,CDT,10.040524612648136,73.9335749954387
2022-12,CVS,9.660047081547654,32.74423784927487
2022-12,DataTools,9.937783848992336,63.64098031374402
2022-12,EclipseLink,8.936933971235863,65.25135773407222
2022-12,EGit,12.581160965209808,79.99035085504703
2022-12,EMF,12.658976393938834,86.66017491873203
2022-12,GEF,7.500497512437811,1.4443413195525054
2022-12,GMF Runtime,9.109510086455332,69.13308675805597
2022-12,JDT,19.7073301510495,78.20334128185903
2022-12,m2e,8.81475191071212,89.15849607709775
2022-12,Mylyn,8.811092240443244,49.46602570337882
2022-12,PDE,10.143426407415781,99.27227179650728
2022-12,PTP,8.369560844787127,0.0
2022-12,RAP,8.78264139905142,72.68419467225436
2022-12,Scout,7.2175977802678615,4.790560945763976
2022-12,Subversive,12.475720026791695,99.710454696343
2022-12,WebTools,7.765898686305732,0.7287237223254585
2022-12,Window Builder,13.19328218149702,27.711447495222558
2023-03,BIRT,10.45597077403151,17.01185753865482
2023-03,CDT,10.043436861419295,75.03469176179077
2023-03,CVS,9.660047081547654,32.74423784927487
2023-03,DataTools,9.937783848992336,63.64098031374402
2023-03,EclipseLink,8.927304108707418,63.59444935702143
2023-03,EGit,12.581073227431228,79.97297046808168
2023-03,EMF,12.64128112568145,81.65282065252084
2023-03,GEF,7.48319668438598,0.5490715725371081
2023-03,GMF Runtime,9.110228471001758,73.16392376932993
2023-03,JDT,19.599766809172174,61.92120958626731
2023-03,m2e,8.811356843992828,88.97362966744372
2023-03,Mylyn,8.979729928510489,57.88760166870557
2023-03,PDE,10.135836273817926,99.1979882383452
2023-03,PTP,8.369560844787127,0.0
2023-03,RAP,8.782952052648072,72.80029881923413
2023-03,Scout,7.214363778298204,4.497470098890264
2023-03,Subversive,12.475720026791695,99.710454696343
2023-03,WebTools,7.766961064809056,0.815462883059819
2023-03,Window Builder,13.193502980790461,27.74274193758732
2023-06,BIRT,10.44897339063246,16.79883050083518
2023-06,CDT,10.04267777955869,74.74768408166999
2023-06,CVS,10.327286585365854,100.0
2023-06,DataTools,9.94568775350459,63.69159645101462
2023-06,EclipseLink,8.927178785862116,63.57288638334426
2023-06,EGit,12.582994383110595,80.35354118309657
2023-06,EMF,12.640114190993646,81.32260495291273
2023-06,GEF,7.500661900979614,1.452847969511184
2023-06,GMF Runtime,9.109102419808666,66.84567980335665
2023-06,JDT,19.61944922324697,64.90058576089847
2023-06,m2e,8.830117201373268,89.99515890368536
2023-06,Mylyn,8.985508519234147,58.176177972790164
2023-06,PDE,10.105694953481816,98.90299942248272
2023-06,PTP,8.369560844787127,0.0
2023-06,RAP,8.783111891033675,72.86003706020404
2023-06,Scout,7.220994189799871,5.098370450954886
2023-06,Subversive,12.476557267247154,99.75943388736246
2023-06,WebTools,7.775674667329934,1.5268953595914994
2023-06,Window Builder,13.202260012803029,28.98389823538595
2023-09,BIRT,10.451379770598896,16.872089884648275
2023-09,CDT,10.04419806887123,75.32250312471386
2023-09,CVS,10.327286585365854,100.0
2023-09,DataTools,9.94568775350459,63.69159645101462
2023-09,EclipseLink,9.005026225370402,76.967270183967
2023-09,EGit,12.591753774680605,82.08873003254553
2023-09,EMF,12.640176071902166,81.34011582795388
2023-09,GEF,7.832069816643159,18.60228613086056
2023-09,GMF Runtime,9.11179119178275,81.93230943916319
2023-09,JDT,19.63734290843806,67.60919757711618
2023-09,m2e,8.838311382878645,90.44134421908565
2023-09,Mylyn,9.002018702686655,59.00067791547996
2023-09,PDE,10.09941718050511,98.84155975109469
2023-09,PTP,8.369560844787127,0.0
2023-09,RAP,8.783070109467703,72.84442155428697
2023-09,Scout,7.223476472100797,5.323334513619081
2023-09,Subversive,12.476557267247154,99.75943388736246
2023-09,WebTools,7.961608275107541,16.70766665765699
2023-09,Window Builder,13.506539164674448,72.11015209537372
2023-12,BIRT,10.449426259734063,16.812617563474554
2023-12,CDT,10.044335501511316,75.37446619385186
2023-12,CVS,10.327286585365854,100.0
2023-12,DataTools,9.932616791090874,63.60789078038491
2023-12,EclipseLink,9.005096361612502,76.97933778376151
2023-12,EGit,12.59703947368421,83.13579887280636
2023-12,EMF,12.640378665095035,81.39744504579119
2023-12,GEF,7.857923979186877,19.940167155425765
2023-12,GMF Runtime,9.113049595497714,88.99317996406113
2023-12,JDT,19.591494729254887,60.66904418996222
2023-12,m2e,8.840094062316284,90.53841375392797
2023-12,Mylyn,8.994007032563829,58.600584144497894
2023-12,PDE,10.091955310391175,98.76853148940992
2023-12,PTP,8.369560844787127,0.0
2023-12,RAP,8.78286573774259,72.768039355379
2023-12,Scout,7.223489400874524,5.32450622139045
2023-12,Subversive,12.472635983263599,99.53003585001271
2023-12,WebTools,7.961608275107541,16.70766665765699
2023-12,Window Builder,13.5367750662233,76.3955629027246
2024-03,BIRT,10.450238611713665,16.83734865594337
2024-03,CDT,10.041692900361758,74.37530277712135
2024-03,CVS,10.327286585365854,100.0
2024-03,DataTools,9.932440302853815,63.60676056014758
2024-03,EclipseLink,9.00508192189046,76.9768532938383
2024-03,EGit,12.596252294021056,82.97986277118314
2024-03,EMF,12.640994475138122,81.57170513620483
